feature,importance
PERNP,0.8329876403626411
INTP,0.11899539125023244
RETP,0.03918869453525765
SSP,0.005385068758206518
OIP,0.0007871683812455247
SEMP,0.00017442893189530793
PWGTP5,0.00015581942455384872
AGEP,0.0001491154915098369
PWGTP30,0.0001262674273233651
PWGTP49,0.00012123199385763996
PWGTP1,0.0001203436128607768
PWGTP65,0.000109957061244696
PWGTP48,9.866297734141526e-05
PWGTP45,6.309643495760893e-05
PWGTP34,5.440643445475318e-05
PWGTP63,5.264461247845024e-05
PWGTP18,4.7119900358410895e-05
PWGTP68,4.644825083535031e-05
PWGTP14,4.1528816800465134e-05
PWGTP4,4.139546742880485e-05
PWGTP69,3.92857480439557e-05
PWGTP9,3.876315677663833e-05
PWGTP20,3.8121833570180854e-05
NWLA,3.737562533679292e-05
WAGP,3.6819381019033355e-05
PWGTP61,3.622875326006986e-05
PWGTP52,3.611702231443031e-05
PWGTP12,3.211675931589458e-05
PWGTP59,3.196203029672759e-05
PWGTP35,3.1053766176132036e-05
PWGTP40,2.9589909360376694e-05
POBP,2.853520801667971e-05
PWGTP27,2.7851343682389624e-05
PWGTP47,2.4686256952824005e-05
PWGTP75,2.437391829419098e-05
PWGTP73,2.265440763119519e-05
PWGTP70,2.2289362718969023e-05
PUBCOV,2.1508781594197534e-05
PWGTP25,2.1323694965108477e-05
WAOB,2.1320858318034772e-05
PWGTP24,2.025804253848807e-05
PWGTP41,1.9456534963286036e-05
PWGTP60,1.9395133631749746e-05
PWGTP16,1.8684449861939837e-05
PWGTP29,1.8223352955093363e-05
PWGTP51,1.820027750395484e-05
PWGTP28,1.683124955045251e-05
PWGTP31,1.677941904206493e-05
PWGTP64,1.676492254304315e-05
NWAV,1.6089244740678513e-05
PWGTP23,1.5731915883267298e-05
PWGTP78,1.5352482480462238e-05
NWRE,1.5131866619419137e-05
PWGTP46,1.4681936461380484e-05
PWGTP26,1.3639074490743478e-05
PWGTP22,1.2076061965521279e-05
ANC2P,1.2048113542995266e-05
PWGTP80,1.1965207909713732e-05
PWGTP3,1.0407684916264558e-05
PWGTP76,1.0336105809868992e-05
SPORDER,1.0239841541560756e-05
PWGTP13,9.97735873992945e-06
HINS3,9.719428495230053e-06
ANC1P,9.586754039079763e-06
PWGTP67,9.455230597276268e-06
DIVISION,9.390358476328992e-06
PWGTP37,9.346766266872802e-06
PWGTP56,9.307717757817835e-06
PWGTP50,9.301182911446576e-06
PWGTP54,9.112216737899338e-06
PWGTP53,8.689036044493614e-06
PWGTP43,8.59454899485048e-06
PWGTP8,8.393250437847029e-06
PWGTP36,8.214320877326674e-06
PWGTP74,7.905832655341552e-06
HINS1,7.718737916611944e-06
PWGTP2,7.588165563263625e-06
PWGTP6,7.424412456120549e-06
PWGTP66,7.413045415284984e-06
PWGTP57,7.402706046229122e-06
FRELP,7.309121772823654e-06
PWGTP38,7.072427465790416e-06
PWGTP44,6.210400614862979e-06
FHINS4P,6.102054561211166e-06
PWGTP58,5.950460580918443e-06
PWGTP55,5.686752848196981e-06
PWGTP21,5.657059000737161e-06
REGION,5.503758379643591e-06
PWGTP42,5.265035103191442e-06
PWGTP39,5.251326676137059e-06
NWLK,5.2483919792406686e-06
PWGTP,5.186373994250677e-06
PWGTP19,5.013946250386155e-06
PWGTP10,4.323783043080308e-06
PWGTP33,4.242653349832457e-06
PWGTP72,4.1460611630547105e-06
PWGTP79,3.98230760234585e-06
FCITWP,3.9809670694897455e-06
PWGTP11,3.819805884638351e-06
RACWHT,3.435482387835117e-06
QTRBIR,3.3071211248031927e-06
PWGTP71,3.28682715915587e-06
PWGTP77,3.2820538474254137e-06
PWGTP7,3.1001057004715624e-06
RAC2P,2.939982681627253e-06
FHINS5P,2.9244982780899947e-06
PWGTP62,2.695109276581021e-06
FHINS7P,2.611941229407524e-06
MIG,2.5747334866255197e-06
FHINS3P,2.5473535474083793e-06
DIS,2.211248324761078e-06
FJWDP,2.199166273698395e-06
HINS6,2.1739564676787495e-06
PWGTP15,2.1725408614059963e-06
PWGTP32,2.072582286832422e-06
FFODP,1.9140110185088713e-06
SCHL,1.8274062189972908e-06
HINS2,1.815336451572885e-06
MSP,1.5828104685088794e-06
WKL,1.4381134854719269e-06
PWGTP17,1.31190552497631e-06
FPERNP,1.22366322510406e-06
FWAGP,1.1898828486047532e-06
MIL,9.778935559086044e-07
RELP,8.568635692038081e-07
RAC3P,6.516739358632689e-07
ANC,6.373374049285623e-07
FMARHTP,6.113150188796768e-07
MAR,5.89991669431381e-07
FJWRIP,5.7499361639552e-07
FINTP,5.500363874429547e-07
LANX,4.3793564915847733e-07
HINS5,3.898885149038033e-07
FWKHP,3.588724491399976e-07
ESR,3.5555490338433053e-07
SEX,3.3479118814053506e-07
FDDRSP,2.7019977380253115e-07
FINDP,2.3964229469690393e-07
FSCHP,1.9560124279513782e-07
PRIVCOV,1.850309159349694e-07
FSSIP,1.6094405113870118e-07
FJWMNP,1.312086411407622e-07
FPAP,9.956983951930962e-08
FHICOVP,8.255780331778998e-08
FDREMP,7.444988817981444e-08
FHINS6P,5.318112206089786e-08
FHINS2P,3.9892036884060896e-08
FJWTRP,3.542652531464517e-08
FPINCP,1.577520067811544e-08
NATIVITY,1.561452786203713e-08
FMIGP,1.2435605635830067e-08
SSIP,1.0129013264187249e-08
CIT,7.849939697950407e-09
DREM,7.200103602644482e-09
FRETP,3.691587521107947e-09
RAC1P,0.0
RC,0.0
RACSOR,0.0
RACPI,0.0
RACNUM,0.0
RACNH,0.0
FDISP,0.0
FDEYEP,0.0
FDEARP,0.0
FCOWP,0.0
FCITP,0.0
FANCP,0.0
FFERP,0.0
FESRP,0.0
FENGP,0.0
FDRATP,0.0
FAGEP,0.0
FRACP,0.0
FWRKP,0.0
FWKWP,0.0
FWKLP,0.0
FSSP,0.0
DDRS,0.0
ADJINC,0.0
FDRATXP,0.0
DOUT,0.0
DEYE,0.0
DEAR,0.0
HINS7,0.0
HINS4,0.0
PAP,0.0
RACASN,0.0
RACAIAN,0.0
DPHY,0.0
FPUBCOVP,0.0
FPRIVCOVP,0.0
FPOWSP,0.0
FPOBP,0.0
FOIP,0.0
FSEXP,0.0
FSEMP,0.0
FYOEP,0.0
FSCHGP,0.0
NWAB,0.0
SCH,0.0
HICOV,0.0
POVPIP,0.0
OC,0.0
HISP,0.0
RACBLK,0.0
FSCHLP,0.0
FDPHYP,0.0
FDOUTP,0.0
FHINS1P,0.0
FGCRP,0.0
FGCMP,0.0
FGCLP,0.0
FHISP,0.0
FMARHMP,0.0
FMARHWP,0.0
FMARP,0.0
FLANXP,0.0
FLANP,0.0
FOCCP,0.0
FMILSP,0.0
FMILPP,0.0
FMIGSP,0.0
FMARHYP,0.0
FMARHDP,0.0
